,Cognitive_value,Intuitiveness,Visualization
Cognitive_value,0.0,1.2307771746456643e-12,3.8409489848254236e-21
Intuitiveness,1.2307771746456643e-12,0.0,6.432545440952712e-15
Visualization,3.8409489848254236e-21,6.432545440952712e-15,0.0
