,Cognitive_value,Intuitiveness,Visualization
Cognitive_value,0.9999999999999998,0.47443003829774266,0.5921595699457236
Intuitiveness,0.47443003829774266,1.0,0.49129038540205666
Visualization,0.5921595699457236,0.49129038540205666,1.0
