,Cognitive_value,Intuitiveness,Visualization
Cognitive_value,0.0,4.3682050118565863e-14,8.867733440145408e-23
Intuitiveness,4.3682050118565863e-14,0.0,3.9151690187129074e-15
Visualization,8.867733440145408e-23,3.9151690187129074e-15,0.0
