"","MR1","MR4","MR3","MR2","MR5","MR6"
"MR1",1,0.432,0.268,0.389,0.299,0.172
"MR4",0.432,1,0.306,0.106,0.195,0.257
"MR3",0.268,0.306,1,0.288,0.333,0.311
"MR2",0.389,0.106,0.288,1,0.192,0.174
"MR5",0.299,0.195,0.333,0.192,1,0.143
"MR6",0.172,0.257,0.311,0.174,0.143,1
