"","MR1","MR3","MR2","MR4","MR5","MR6"
"MR1",1,0.443,0.523,0.485,0.431,0.255
"MR3",0.443,1,0.51,0.383,0.518,0.385
"MR2",0.523,0.51,1,0.178,0.421,0.288
"MR4",0.485,0.383,0.178,1,0.32,0.232
"MR5",0.431,0.518,0.421,0.32,1,0.228
"MR6",0.255,0.385,0.288,0.232,0.228,1
