,SUS,UEQ_hedonic,UEQ_pragmatic,Cognitive_value,Intuitiveness,Visualization
SUS,1.0,0.2808659039762252,0.6715769435851144,0.4092492975787253,0.5981023428238682,0.4763776948478049
UEQ_hedonic,0.2808659039762252,1.0,0.4656844059015239,0.5610887335189629,0.3479219859714942,0.2934815824694243
UEQ_pragmatic,0.6715769435851144,0.4656844059015239,1.0,0.5176944171692245,0.694722378997077,0.5029916539167189
Cognitive_value,0.4092492975787253,0.5610887335189629,0.5176944171692245,0.9999999999999998,0.47443003829774266,0.5921595699457236
Intuitiveness,0.5981023428238682,0.3479219859714942,0.694722378997077,0.47443003829774266,1.0,0.49129038540205666
Visualization,0.4763776948478049,0.2934815824694243,0.5029916539167189,0.5921595699457236,0.49129038540205666,1.0
