id,seed,stimulus,UEQ_1,UEQ_2,UEQ_3,UEQ_4,UEQ_5,UEQ_6,UEQ_7,UEQ_8
1117,259862117,Excel,7,7,7,6,6,6,4,4
1118,646517781,Excel,7,6,7,6,7,7,5,4
1119,14649853,Excel,6,6,6,6,4,5,6,5
1121,232187531,Excel,7,7,7,7,7,7,1,7
1122,709666755,Excel,7,5,7,6,6,6,3,4
1126,1614216812,Excel,5,3,7,5,5,6,6,5
1127,15308611,Excel,5,6,4,6,3,5,2,3
1128,580284189,Excel,7,7,7,7,7,7,5,2
1129,617695464,Excel,5,2,6,3,4,4,3,3
1130,1577465896,Excel,5,5,6,5,3,3,1,1
1132,868875017,Excel,5,3,6,6,3,5,4,2
1135,1470007809,Excel,4,5,6,5,5,6,5,5
