,SUS,UEQ_hedonic,UEQ_pragmatic,Cognitive_value,Intuitiveness,Visualization
SUS,1.0,0.2808659039762249,0.6715769435851143,0.4092492975787254,0.5981023428238685,0.4763776948478052
UEQ_hedonic,0.2808659039762249,1.0,0.46568440590152355,0.5610887335189628,0.3479219859714945,0.2934815824694245
UEQ_pragmatic,0.6715769435851143,0.46568440590152355,1.0,0.517694417169224,0.6947223789970768,0.5029916539167191
Cognitive_value,0.4092492975787254,0.5610887335189628,0.517694417169224,1.0,0.47443003829774305,0.5921595699457232
Intuitiveness,0.5981023428238685,0.3479219859714945,0.6947223789970768,0.47443003829774305,1.0,0.4912903854020571
Visualization,0.4763776948478052,0.2934815824694245,0.5029916539167191,0.5921595699457232,0.4912903854020571,1.0
