,SUS,UEQ_hedonic,UEQ_pragmatic,Cognitive_value,Intuitiveness,Visualization
SUS,1.0,0.25899338705304265,0.6510079936093401,0.3792351774422783,0.5769985462251062,0.44827802580993925
UEQ_hedonic,0.25899338705304265,0.9999999999999998,0.48092242618927805,0.5512119598936693,0.3436197918155155,0.2744182199729376
UEQ_pragmatic,0.6510079936093401,0.48092242618927805,0.9999999999999999,0.4965942059850578,0.6871868395868225,0.4982486529761942
Cognitive_value,0.3792351774422783,0.5512119598936693,0.4965942059850578,0.9999999999999998,0.4568968951948812,0.5585349284311493
Intuitiveness,0.5769985462251062,0.3436197918155155,0.6871868395868225,0.4568968951948812,1.0,0.48433256732534835
Visualization,0.44827802580993925,0.2744182199729376,0.4982486529761942,0.5585349284311493,0.48433256732534835,1.0
