,SUS,UEQ_hedonic,UEQ_pragmatic,Cognitive_value,Intuitiveness,Visualization
SUS,0.0,1.8232314373953706e-05,5.341313532151915e-31,1.5458779836217572e-10,2.5752416975829496e-23,3.328207420330624e-14
UEQ_hedonic,1.8232314373953706e-05,0.0,1.4502628649613127e-13,3.830861190951461e-20,7.868034194984311e-08,7.23262421451721e-06
UEQ_pragmatic,5.341313532151915e-31,1.4502628649613127e-13,0.0,6.79047039182373e-17,6.719848601783337e-34,6.778561812387994e-16
Cognitive_value,1.5458779836217572e-10,3.830861190951461e-20,6.79047039182373e-17,0.0,4.3682050118565863e-14,8.867733440145408e-23
Intuitiveness,2.5752416975829496e-23,7.868034194984311e-08,6.719848601783337e-34,4.3682050118565863e-14,0.0,3.9151690187129074e-15
Visualization,3.328207420330624e-14,7.23262421451721e-06,6.778561812387994e-16,8.867733440145408e-23,3.9151690187129074e-15,0.0
